Right inference, 997, Wrong inference, 3, Classification accuracy, 0.997
Right inference, 997, Wrong inference, 3, Classification accuracy, 0.997
Right inference, 997, Wrong inference, 3, Classification accuracy, 0.997
Right inference, 997, Wrong inference, 3, Classification accuracy, 0.997
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 999, Wrong inference, 1, Classification accuracy, 0.999
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
Right inference, 998, Wrong inference, 2, Classification accuracy, 0.998
